"Shape Products Rules","Shape Products Rules"
"Rule Name","Rule Name"
"Rule Description","Rule Description"
"Matched Products","Matched Products"
"Rule will work only if at least one condition is specified.","Rule will work only if at least one condition is specified."
"tag H1","tag H1"
"Are you sure you want to match this rule now?","Are you sure you want to match this rule now?"
"The shape rule has been saved.","The shape rule has been saved."
"Failed to save shape rule.","Failed to save shape rule."
"The shape rule has been deleted.","The shape rule has been deleted."
"Failed to delete shape rule.","Failed to delete shape rule."
"The shape rule has been matched.","The shape rule has been matched."
"Shape rule matching error.","Shape rule matching error."
"Wrong shape rule requested.","Wrong shape rule requested."